z,tip,sleeve
13.3,16.4448,632.5906
13.325,18.7681,691.6745
13.35,19.8547,715.423
13.375,20.7942,728.9251
13.4,21.8754,738.2138
13.425,22.5089,747.8856
13.45,22.6047,751.333
13.475,22.487,757.1743
13.5,21.6859,818.6522
13.525,21.1877,848.0506
13.55,21.0332,878.4065
13.575,20.9811,916.519
13.6,20.0269,931.8406
13.625,19.5447,928.489
13.65,18.9149,905.7938
13.675,17.801,889.7062
13.7,17.2615,868.9262
13.725,16.8518,809.2678
13.75,17.4182,768.1867
13.775,18.348,757.4616
13.8,20.1331,799.596
13.825,21.0164,892.6747
13.85,19.8746,915.5614
13.875,16.8471,932.0321
13.9,13.6476,916.8062
13.925,11.7774,936.054
13.95,12.7799,893.9196
13.975,14.241,816.6413
14,14.8472,761.1962
14.025,15.8888,760.4302
14.05,17.5987,819.3226
14.075,18.7166,852.647
14.1,18.2328,838.0915
14.125,17.1936,823.6318
14.15,16.8527,944.0978
14.175,17.4996,959.611
14.2,19.246,971.6767
14.225,19.1856,991.7863
14.25,17.2831,957.0254
14.275,17.8611,939.4056
14.3,18.9275,941.1293
14.325,19.1905,933.3727
14.35,17.2914,932.2236
14.375,16.6821,937.3946
14.4,15.9146,924.8501
14.425,15.4289,915.5614
14.45,15.2222,895.5475
14.475,14.1671,890.6638
14.5,13.7446,888.7486
14.525,13.5698,875.3422
14.55,13.0526,826.4088
14.575,12.4135,806.778
14.6,12.3346,795.2868
14.625,12.2546,762.7284
14.65,12.5949,742.14
14.675,12.9191,724.8074
14.7,13.4182,703.5487
14.725,14.4627,709.3901
14.75,15.1533,712.7417
14.775,15.8655,709.4858
14.8,17.6719,737.8308
14.825,19.5114,772.2086
14.85,20.3189,804.001
14.875,18.2751,766.5588
14.9,14.0384,718.1042
14.925,12.5886,711.8798
14.95,12.5216,655.573
14.975,13.7535,626.3662
15,13.8273,626.6534
15.025,14.6585,695.3134
15.05,15.469,742.8103
15.075,15.9732,715.423
15.1,15.2143,688.0356
15.125,14.9826,689.3762
15.15,15.3558,700.6759
15.175,17.0006,724.9032
15.2,18.2404,722.0304
15.225,19.004,723.9456
15.25,19.6783,718.9661
15.275,20.4939,728.2548
15.3,20.9795,746.7365
15.325,21.2553,768.5698
15.35,21.1957,784.0829
15.375,20.6068,792.7013
15.4,19.8511,778.2415
15.425,18.9466,763.7818
15.45,18.4499,758.9938
15.475,18.5896,727.2972
15.5,18.7033,711.1138
15.525,18.8262,714.8484
15.55,18.8579,720.594
15.575,18.8993,730.3615
15.6,18.846,735.8198
15.625,18.997,730.6488
15.65,19.2722,731.2234
15.675,19.4958,728.7336
15.7,19.7708,734.575
15.725,19.7883,740.4163
15.75,19.3976,789.3497
15.775,19.2274,805.0543
15.8,18.8866,778.433
15.825,18.5982,776.7094
15.85,19.132,771.3468
15.875,20.008,766.9418
15.9,20.1321,767.0376
15.925,19.854,768.9528
15.95,20.1245,774.8899
15.975,20.6099,773.7408
16,20.9649,793.4674
16.025,21.2407,796.7232
16.05,21.8933,804.001
16.075,20.1107,754.0142
16.1,15.8626,704.1233
16.125,15.0228,747.311
16.15,15.6752,811.183
16.175,15.6531,820.4717
16.2,13.7729,831.0053
16.225,12.8245,840.1982
16.25,12.7409,844.699
16.275,12.5707,805.1501
16.3,13.6534,798.6384
16.325,14.4161,814.6303
16.35,15.0879,818.2692
16.375,15.6327,808.4059
16.4,15.6685,804.001
16.425,16.3645,825.7385
16.45,16.5974,843.3583
16.475,15.9231,840.9643
16.5,15.5434,812.2363
16.525,15.7496,773.1662
16.55,16.2632,712.1671
16.575,17.1627,654.3281
16.6,18.396,633.5482
16.625,19.2488,641.8793
16.65,18.3925,684.7798
16.675,16.5714,712.1671
16.7,14.9494,702.1123
16.725,12.132,703.836
16.75,11.7436,705.2724
16.775,12.5958,677.5978
16.8,14.058,620.8121
16.825,16.0109,622.1527
16.85,18.1176,670.0327
16.875,19.7909,678.0766
16.9,19.7304,681.1409
16.925,19.9984,691.0042
16.95,20.5849,719.6364
16.975,19.1331,713.6035
17,15.0745,693.3982
17.025,13.0165,563.7391
17.05,12.0211,527.3503
17.075,11.9618,487.8972
17.1,13.6127,492.781
17.125,14.9754,508.2941
17.15,15.411,520.8386
17.175,15.3542,545.9278
17.2,15.4975,559.6214
17.225,15.9807,562.8773
17.25,16.1516,565.7501
17.275,16.8922,576.8582
17.3,17.2799,590.5519
17.325,17.4686,586.0512
17.35,17.986,598.9788
17.375,18.72,607.5972
17.4,19.69,615.641
17.425,20.4418,634.6015
17.45,20.8785,649.3486
17.475,20.9722,667.7345
17.5,20.9887,696.5582
17.525,21.2717,711.7841
17.55,20.9481,753.5354
17.575,20.5493,783.221
17.6,20.6191,812.5236
17.625,20.7958,838.5703
17.65,21.1454,856.9562
17.675,20.9644,865.5746
17.7,20.7016,866.628
17.725,21.0399,869.6923
17.75,20.6747,897.367
17.775,20.7097,978.3799
17.8,20.2434,1026.3557
17.825,18.375,1054.7006
17.85,16.4367,1142.6083
17.875,15.8551,1187.807
17.9,16.1433,1209.5446
17.925,16.2654,1167.5059
17.95,16.0697,1119.9132
17.975,15.3203,1080.6516
